instancia,grupo,constructiva,operador,costo_inicial,costo_final,mejora_pct,tiempo_s,pasadas
e20100,e,insercion,relocate_multiple,2420.0000,2420.0000,0.0000,0.0000,0
e20100,e,insercion,swap_multiple,2420.0000,2420.0000,0.0000,0.0001,0
e20200,e,vmc,relocate_first,54165.0000,54165.0000,0.0000,0.0000,0
e20200,e,vmc,relocate_best,54165.0000,54165.0000,0.0000,0.0000,0
e20200,e,vmc,swap_first,54165.0000,53630.0000,0.9877,0.0002,10
e20200,e,vmc,swap_best,54165.0000,53638.0000,0.9730,0.0003,10
e20200,e,vmc,relocate_multiple,54165.0000,54165.0000,0.0000,0.0001,0
e20200,e,vmc,swap_multiple,54165.0000,53589.0000,1.0634,0.0003,16
e20200,e,insercion,relocate_first,145766.0000,145766.0000,0.0000,0.0000,0
e20200,e,insercion,relocate_best,145766.0000,145766.0000,0.0000,0.0000,0
e20200,e,insercion,swap_first,145766.0000,144109.0000,1.1368,0.0001,18
e20200,e,insercion,swap_best,145766.0000,144008.0000,1.2060,0.0004,14
e20200,e,insercion,relocate_multiple,145766.0000,145766.0000,0.0000,0.0001,0
e20200,e,insercion,swap_multiple,145766.0000,144060.0000,1.1704,0.0003,14
e20400,e,vmc,relocate_first,232167.0000,232167.0000,0.0000,0.0000,0
e20400,e,vmc,relocate_best,232167.0000,232167.0000,0.0000,0.0000,0
e20400,e,vmc,swap_first,232167.0000,231326.0000,0.3622,0.0010,19
e20400,e,vmc,swap_best,232167.0000,231177.0000,0.4264,0.0013,13
e20400,e,vmc,relocate_multiple,232167.0000,232167.0000,0.0000,0.0001,0
e20400,e,vmc,swap_multiple,232167.0000,231280.0000,0.3821,0.0010,20
e20400,e,insercion,relocate_first,419183.0000,419183.0000,0.0000,0.0000,0
e20400,e,insercion,relocate_best,419183.0000,419183.0000,0.0000,0.0000,0
e20400,e,insercion,swap_first,419183.0000,418418.0000,0.1825,0.0004,14
e20400,e,insercion,swap_best,419183.0000,418381.0000,0.1913,0.0009,10
e20400,e,insercion,relocate_multiple,419183.0000,419183.0000,0.0000,0.0001,0
e20400,e,insercion,swap_multiple,419183.0000,418426.0000,0.1806,0.0006,15
e40400,e,vmc,relocate_first,180792.0000,180792.0000,0.0000,0.0000,0
e40400,e,vmc,relocate_best,180792.0000,180792.0000,0.0000,0.0000,0
e40400,e,vmc,swap_first,180792.0000,179421.0000,0.7583,0.0011,30
e40400,e,vmc,swap_best,180792.0000,179362.0000,0.7910,0.0013,11
e40400,e,vmc,relocate_multiple,180792.0000,180792.0000,0.0000,0.0005,0
e40400,e,vmc,swap_multiple,180792.0000,179366.0000,0.7888,0.0015,22
e40400,e,insercion,relocate_first,506013.0000,506013.0000,0.0000,0.0000,0
e40400,e,insercion,relocate_best,506013.0000,506013.0000,0.0000,0.0000,0
e40400,e,insercion,swap_first,506013.0000,504593.0000,0.2806,0.0006,14
e40400,e,insercion,swap_best,506013.0000,504591.0000,0.2810,0.0014,13
e40400,e,insercion,relocate_multiple,506013.0000,506013.0000,0.0000,0.0004,0
e40400,e,insercion,swap_multiple,506013.0000,504598.0000,0.2796,0.0008,13
e15900,e,vmc,relocate_first,620956.0000,620956.0000,0.0000,0.0000,0
e15900,e,vmc,relocate_best,620956.0000,620956.0000,0.0000,0.0000,0
e15900,e,vmc,swap_first,620956.0000,617917.0000,0.4894,0.0137,56
e15900,e,vmc,swap_best,620956.0000,617643.0000,0.5335,0.0179,40
e15900,e,vmc,relocate_multiple,620956.0000,620956.0000,0.0000,0.0002,0
e15900,e,vmc,swap_multiple,620956.0000,618161.0000,0.4501,0.0074,48
e15900,e,insercion,relocate_first,818881.0000,818881.0000,0.0000,0.0000,0
e15900,e,insercion,relocate_best,818881.0000,818881.0000,0.0000,0.0000,0
e15900,e,insercion,swap_first,818881.0000,816540.0000,0.2859,0.0036,36
e15900,e,insercion,swap_best,818881.0000,816438.0000,0.2983,0.0069,16
e15900,e,insercion,relocate_multiple,818881.0000,818881.0000,0.0000,0.0002,0
e15900,e,insercion,swap_multiple,818881.0000,816544.0000,0.2854,0.0048,32
e30900,e,vmc,relocate_first,537376.0000,537376.0000,0.0000,0.0000,0
e30900,e,vmc,relocate_best,537376.0000,537376.0000,0.0000,0.0000,0
e30900,e,vmc,swap_first,537376.0000,536693.0000,0.1271,0.0061,22
